Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Fazalhaq Farooqi (AFG),2024-2024,8,8,152,25.2,0,160,17,5/9,9.41,6.31,8.94,1,1
Arshdeep Singh (IND),2024-2024,8,8,180,30.0,0,215,17,4/9,12.64,7.16,10.58,1,0
JJ Bumrah (IND),2024-2024,8,8,178,29.4,2,124,15,3/7,8.26,4.17,11.86,0,0
A Nortje (SA),2024-2024,9,9,210,35.0,0,201,15,4/7,13.4,5.74,14.0,1,0
Rashid Khan (AFG),2024-2024,8,8,174,29.0,0,179,14,4/17,12.78,6.17,12.42,2,0
Rishad Hossain (BAN),2024-2024,7,7,150,25.0,0,194,14,3/22,13.85,7.76,10.71,0,0
Naveen-ul-Haq (AFG),2024-2024,8,8,160,26.4,0,160,13,4/26,12.3,6.0,12.3,1,0
AS Joseph (WI),2024-2024,7,7,147,24.3,0,177,13,4/19,13.61,7.22,11.3,1,0
A Zampa (AUS),2024-2024,7,7,168,28.0,0,187,13,4/12,14.38,6.67,12.92,1,0
K Rabada (SA),2024-2024,9,9,186,31.0,2,195,13,3/18,15.0,6.29,14.3,0,0
T Shamsi (SA),2024-2024,5,5,101,16.5,0,128,11,4/19,11.63,7.6,9.18,1,0
AD Russell (WI),2024-2024,7,7,121,20.1,0,141,11,3/31,12.81,6.99,11.0,0,0
Tanzim Hasan Sakib (BAN),2024-2024,7,7,144,24.0,2,149,11,4/7,13.54,6.2,13.09,1,0
KA Maharaj (SA),2024-2024,8,8,168,28.0,0,175,11,3/27,15.9,6.25,15.27,0,0
HH Pandya (IND),2024-2024,8,8,150,25.0,2,191,11,3/20,17.36,7.64,13.63,0,0
CJ Jordan (ENG),2024-2024,5,5,83,13.5,0,134,10,4/10,13.4,9.68,8.3,1,0
Kuldeep Yadav (IND),2024-2024,5,5,120,20.0,0,139,10,3/19,13.9,6.95,12.0,0,0
MP Stoinis (AUS),2024-2024,7,6,102,17.0,0,151,10,3/19,15.1,8.88,10.2,0,0
AU Rashid (ENG),2024-2024,8,8,168,28.0,0,186,10,4/11,18.6,6.64,16.8,1,0
JC Archer (ENG),2024-2024,8,8,158,26.2,1,190,10,3/12,19.0,7.21,15.8,0,0
TA Boult (NZ),2024-2024,4,4,96,16.0,2,59,9,3/16,6.55,3.68,10.66,0,0
AJ Hosein (WI),2024-2024,7,7,150,25.0,1,141,9,5/11,15.66,5.64,16.66,0,1
PJ Cummins (AUS),2024-2024,5,5,114,19.0,1,144,9,3/28,16.0,7.57,12.66,0,0
AR Patel (IND),2024-2024,8,8,132,22.0,1,173,9,3/23,19.22,7.86,14.66,0,0
N Thushara (SL),2024-2024,3,3,64,10.4,0,60,8,4/18,7.5,5.62,8.0,1,0
Taskin Ahmed (BAN),2024-2024,6,6,128,21.2,1,137,8,2/19,17.12,6.42,16.0,0,0
Mustafizur Rahman (BAN),2024-2024,7,7,156,26.0,1,142,8,3/7,17.75,5.46,19.5,0,0
G Motie (WI),2024-2024,7,7,126,21.0,0,149,8,3/25,18.62,7.09,15.75,0,0
TG Southee (NZ),2024-2024,3,3,72,12.0,1,36,7,3/4,5.14,3.0,10.28,0,0
Gulbadin Naib (AFG),2024-2024,8,4,54,9.0,0,47,7,4/20,6.71,5.22,7.71,1,0
LH Ferguson (NZ),2024-2024,4,4,96,16.0,4,64,7,3/0,9.14,4.0,13.71,0,0
Mohammad Amir (PAK),2024-2024,4,4,96,16.0,1,72,7,2/11,10.28,4.5,13.71,0,0
RL Chase (WI),2024-2024,6,5,90,15.0,0,80,7,3/12,11.42,5.33,12.85,0,0
Haris Rauf (PAK),2024-2024,4,4,90,15.0,0,101,7,3/21,14.42,6.73,12.85,0,0
R Trumpelmann (NAM),2024-2024,4,4,72,12.0,0,107,7,4/21,15.28,8.91,10.28,1,0
LV van Beek (NED),2024-2024,4,4,92,15.2,1,127,7,3/18,18.14,8.28,13.14,0,0
M Jansen (SA),2024-2024,9,9,187,31.1,0,213,7,3/16,30.42,6.83,26.71,0,0
DS Airee (NEP),2024-2024,3,3,57,9.3,0,49,6,3/21,8.16,5.15,9.5,0,0
Mehran Khan (OMA),2024-2024,4,3,48,8.0,1,61,6,3/7,10.16,7.62,8.0,0,0
PW Hasaranga (SL),2024-2024,3,3,68,11.2,0,79,6,2/22,13.16,6.97,11.33,0,0
OEG Baartman (SA),2024-2024,5,5,114,19.0,1,94,6,4/11,15.66,4.94,19.0,1,0
SN Netravalkar (USA),2024-2024,6,6,113,18.5,0,125,6,2/18,20.83,6.63,18.83,0,0
D Heyliger (CAN),2024-2024,3,3,66,11.0,0,55,5,2/18,11.0,5.0,13.2,0,0
BJ McCarthy (IRE),2024-2024,3,3,62,10.2,1,57,5,3/15,11.4,5.51,12.4,0,0
B Masaba (UGA),2024-2024,4,3,72,12.0,0,69,5,2/21,13.8,5.75,14.4,0,0
Naseem Shah (PAK),2024-2024,3,3,72,12.0,0,71,5,3/21,14.2,5.91,14.4,0,0
D Wiese (NAM),2024-2024,4,4,61,10.1,0,79,5,3/28,15.8,7.77,12.2,0,0
BTJ Wheal (SCOT),2024-2024,4,3,70,11.4,1,80,5,3/33,16.0,6.85,14.0,0,0
PA van Meekeren (NED),2024-2024,4,4,90,15.0,1,84,5,2/15,16.8,5.6,18.0,0,0
C Kyewuta (UGA),2024-2024,4,4,79,13.1,0,97,5,2/17,19.4,7.36,15.8,0,0
TJG Pringle (NED),2024-2024,4,4,78,13.0,0,101,5,3/20,20.2,7.76,15.6,0,0
Shaheen Shah Afridi (PAK),2024-2024,4,4,96,16.0,0,105,5,3/22,21.0,6.56,19.2,0,0
MA Starc (AUS),2024-2024,5,5,108,18.0,0,154,5,2/20,30.8,8.55,21.6,0,0
K Bhurtel (NEP),2024-2024,3,2,48,8.0,0,41,4,4/19,10.25,5.12,12.0,1,0
AR Ramjani (UGA),2024-2024,4,3,66,11.0,1,66,4,2/17,16.5,6.0,16.5,0,0
A Nao (PNG),2024-2024,4,4,78,13.0,1,73,4,2/16,18.25,5.61,19.5,0,0
NT Ellis (AUS),2024-2024,3,3,66,11.0,1,74,4,2/28,18.5,6.72,16.5,0,0
MJ Santner (NZ),2024-2024,4,4,82,13.4,0,76,4,2/8,19.0,5.56,20.5,0,0
MG Erasmus (NAM),2024-2024,4,4,66,11.0,0,81,4,2/20,20.25,7.36,16.5,0,0
SM Sharif (SCOT),2024-2024,2,2,48,8.0,0,82,4,2/40,20.5,10.25,12.0,0,0
Bilal Khan (OMA),2024-2024,4,4,73,12.1,0,109,4,1/12,27.25,8.95,18.25,0,0
Harmeet Singh (USA),2024-2024,6,5,96,16.0,0,139,4,2/24,34.75,8.68,24.0,0,0
